Clusterid,RA_thiswork,Dec_thiswork,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade_thiswork,Grade_thiswork_by_LR,NUM_OF_IMG,Name_D22,RA_D22,Dec_D22,Grade_D22
2176222,99.02538155,38.45472785,0.85,0.77,2.429583602,2.429583602,2.429583602,B,C,2,DESI-099.0254+38.4547,99.0254,38.4547,A
2178777,197.6605504,38.05926706,0.98,0.85,0.967424924,0.967424924,0.967424924,A,C,2,DESI-197.6606+38.0593,197.6606,38.0593,A
2188709,125.6562621,36.3611495,0.97,0.82,1.548246128,1.548246128,1.548246128,B,C,2,DESI-125.6563+36.3611,125.6563,36.3611,C
2192251,274.9553833,35.70261412,0.98,0.88,0.733113788,0.733113788,0.733113788,A,C,2,DESI-274.9554+35.7026,274.9554,35.7026,C
2193526,145.8625238,35.54392094,0.98,0.9,0.822256218,0.822256218,0.822256218,A,C,2,DESI-145.8625+35.5439,145.8625,35.5439,A
2197502,269.8250275,34.99122132,0.98,0.88,2.293979032,2.293979032,2.293979032,A,A,2,DESI-269.8250+34.9912,269.825,34.9912,B
2205145,161.4976839,34.5658757,0.94,0.91,1.416435037,1.416435037,1.416435037,B,C,2,DESI-161.4977+34.5659,161.4977,34.5659,B
2211367,165.5267496,34.36240965,0.96,0.91,1.254266395,1.254266395,1.254266395,A,B,2,DESI-165.5267+34.3624,165.5267,34.3624,A
2298646,194.1306235,33.04809354,0.96,0.72,0.5087158,0.5087158,0.5087158,C,C,2,DESI-194.1306+33.0481,194.1306,33.0481,C
2329451,155.3721624,32.72216861,0.91,0.85,2.224440548,2.224440548,2.224440548,A,B,2,DESI-155.3722+32.7222,155.3722,32.7222,B
2362118,234.2544365,32.39077348,0.93,0.91,0.969630563,0.969630563,0.969630563,A,B,2,DESI-234.2544+32.3908,234.2544,32.3908,A
2398877,353.8438337,32.01927301,0.97,0.55,0.615607174,0.615607174,0.615607174,B,C,2,DESI-353.8438+32.0193,353.8438,32.0193,A
