Clusterid,RA_thiswork,Dec_thiswork,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade_thiswork,Grade_thiswork_by_LR,NUM_OF_IMG,Name_D22,RA_D22,Dec_D22,Grade_D22
10812777,22.58593535,7.4211866,0.98,0.92,2.059008483,2.059008483,2.059008483,A,B,2,DESI-022.5859+07.4212,22.5859,7.4212,B
10818579,244.7060818,6.47676665,0.97,0.8,1.157864905,1.157864905,1.157864905,B,C,2,DESI-244.7061+06.4768,244.7061,6.4768,A
10827698,217.2308885,5.005791706,0.86,0.92,2.22921224,2.22921224,2.22921224,A,A,2,DESI-217.2309+05.0058,217.2309,5.0058,A
10837745,37.49246889,3.34197228,0.99,0.88,2.082121207,2.082121207,2.082121207,A,A,2,DESI-037.4925+03.3420,37.4925,3.342,A
10844276,314.4671739,2.29612602,0.94,0.59,1.160046034,1.160046034,1.160046034,A,B,2,DESI-314.4672+02.2961,314.4672,2.2961,B
10916098,70.04824127,-9.091177713,0.98,0.82,1.688514232,1.688514232,1.688514232,A,A,2,DESI-070.0482-09.0912,70.0482,-9.0912,A
10919637,40.68862603,-10.04922033,0.98,0.77,2.372954719,2.372954719,2.372954719,A,A,2,DESI-040.6886-10.0492,40.6886,-10.0492,C
10924112,60.5530491,-11.64181348,0.92,0.86,2.208979524,2.208979524,2.208979524,B,A,2,DESI-060.5530-11.6418,60.553,-11.6418,C
10930010,20.65695866,-13.73958783,0.97,0.64,0.982391529,0.982391529,0.982391529,B,C,2,DESI-020.6570-13.7396,20.657,-13.7396,A
10939420,85.7388455,-21.42608655,0.97,0.73,2.456644438,2.456644438,2.456644438,C,A,2,DESI-085.7388-21.4261,85.7388,-21.4261,B
10941564,12.27177894,-23.40948816,0.93,0.77,1.928102116,1.928102116,1.928102116,B,A,2,DESI-012.2718-23.4095,12.2718,-23.4095,C
10944064,76.55618687,-25.51347455,0.98,0.84,3.6802483,3.6802483,3.6802483,B,A,2,DESI-076.5562-25.5135,76.5562,-25.5135,B
10944342,48.40914035,-25.77525602,0.95,0.9,2.204414015,2.204414015,2.204414015,A,A,2,DESI-048.4091-25.7753,48.4091,-25.7753,B
11010519,47.37897997,-37.02808158,0.9,0.76,2.161221819,2.161221819,2.161221819,B,A,2,DESI-047.3790-37.0281,47.379,-37.0281,C
11020910,329.3068654,-42.03033701,0.9,0.66,1.803409434,1.803409434,1.803409434,A,C,2,DESI-329.3069-42.0303,329.3069,-42.0303,B
11030534,327.6195571,-46.88086135,0.91,0.85,2.408011694,2.408011694,2.408011694,B,A,2,DESI-327.6196-46.8809,327.6196,-46.8809,B
11039044,72.01531378,-51.21573742,0.95,0.88,2.631615012,2.631615012,2.631615012,B,C,2,DESI-072.0153-51.2157,72.0153,-51.2157,C
11111546,86.1276067,-59.37716263,0.98,0.81,1.252346219,1.252346219,1.252346219,A,C,2,DESI-086.1276-59.3772,86.1276,-59.3772,A
11116236,342.5327016,-60.78998018,0.92,0.66,1.984663155,1.984663155,1.984663155,C,A,2,DESI-342.5327-60.7900,342.5327,-60.79,C
11120009,54.78700909,-61.36245176,0.99,0.92,1.26208515,1.26208515,1.26208515,A,B,2,DESI-054.7870-61.3625,54.787,-61.3625,A
11316923,60.13302966,-64.73149807,0.96,0.69,1.072161586,1.072161586,1.072161586,A,C,2,DESI-060.1330-64.7315,60.133,-64.7315,A
11318620,50.39687673,-64.8327624,0.97,0.9,0.628662161,0.628662161,0.628662161,A,C,2,DESI-050.3969-64.8328,50.3969,-64.8328,C
11426150,37.74359622,-2.115577915,0.98,0.94,3.250758451,3.250758451,3.250758451,C,A,2,DESI-037.7436-02.1156,37.7436,-2.1156,C
11427860,18.34813959,-2.443179515,0.91,0.93,0.55306388,0.55306388,0.55306388,B,B,2,DESI-018.3481-02.4432,18.3481,-2.4432,A
11433768,168.1810223,-3.585982807,0.96,0.85,0.841744322,0.841744322,0.841744322,B,C,2,DESI-168.1810-03.5860,168.181,-3.586,B
11440757,316.7737496,-4.918421871,0.89,0.84,2.254427519,2.254427519,2.254427519,B,A,2,DESI-316.7737-04.9184,316.7737,-4.9184,C
11443444,62.07950238,-5.420494206,0.96,0.93,1.255494431,1.255494431,1.255494431,A,A,2,DESI-062.0795-05.4205,62.0795,-5.4205,B
