Clusterid,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_GLQ,in_D22,Grade_by_D22,q,phi,rein,NOTE
2398877,353.8438337,32.01927301,0.97,0.55,0.615607174,0.615607174,0.615607174,B,C,2,FALSE,TRUE,A,,,,
2412817,238.4093827,31.82530342,0.99,0.91,0.796786762,0.796786087,0.796786424,A,A,2,TRUE,FALSE,,,,,
2414227,7.2226102,31.6230326,0.89,0.57,1.24298379,1.24298379,1.24298379,B,C,2,FALSE,TRUE,C,,,,
2414590,210.0535406,31.5813196,0.92,0.97,0.872501638,0.872500999,0.872501319,A,A,2,TRUE,FALSE,,,,,
2414635,248.4540731,31.57000331,0.99,0.75,0.330273236,0.330273112,0.330273174,A,B,2,TRUE,FALSE,,,,,
2416574,238.7626755,31.3125247,0.98,0.74,1.636780177,1.636780177,1.636780177,A,C,2,FALSE,TRUE,B,,,,
2417050,262.7191556,31.1944322,0.95,0.56,0.787950535,0.787950535,0.787950535,C,C,2,FALSE,FALSE,,,,,
2419086,126.0765944,30.88100517,0.97,0.89,0.824342658,0.824342658,0.824342658,B,C,2,FALSE,FALSE,,,,,
2420745,151.5763876,30.67665113,0.93,0.77,0.88881064,0.88881064,0.88881064,A,C,2,FALSE,TRUE,C,,,,
2422309,123.7982427,30.50948161,0.91,0.85,2.155523823,2.155523823,2.155523823,C,C,2,FALSE,FALSE,,,,,
2424434,190.3294413,30.21150361,0.97,0.82,2.355138052,2.355138052,2.355138052,C,A,2,FALSE,FALSE,,,,,
2424671,258.8805171,30.15401897,0.91,0.81,2.361591449,2.361591449,2.361591449,C,C,2,FALSE,FALSE,,,,,
2427654,146.6862612,29.82339523,0.96,0.68,1.346165911,1.346165911,1.346165911,A,A,2,FALSE,TRUE,A,,,,
2430101,115.055987,29.44640545,0.96,0.83,2.662665416,2.662665416,2.662665416,A,C,2,FALSE,TRUE,C,,,,
2433802,353.4532906,28.90349252,0.92,0.68,0.778758123,0.778758123,0.778758123,A,C,2,FALSE,TRUE,C,,,,
2434774,253.6139323,28.85087013,0.98,0.63,2.157638437,2.157638437,2.157638437,C,B,2,FALSE,FALSE,,,,,
2435479,270.3687609,28.66602115,0.94,0.77,0.580404478,0.580404478,0.580404478,A,C,2,FALSE,TRUE,C,,,,
